crime_id,crime_month,crime_city,crime_type,severity_level,victim_count,current_status
85443,2023-12-01,New York,Cybercrime,1,4,Investigating
40224,2023-11-01,San Diego,Drug Violation,3,2,Investigating
11289,2022-08-01,Philadelphia,Kidnapping,8,5,Closed
80694,2018-07-01,Philadelphia,Drug Violation,8,2,Pending
40444,2018-02-01,Houston,Kidnapping,4,1,Pending
93610,2022-07-01,New York,Assault,4,3,Pending
22599,2022-09-01,San Jose,Vehicle Theft,7,4,Investigating
58749,2020-04-01,Phoenix,Shoplifting,10,4,Investigating
68592,2021-04-01,Houston,Vandalism,3,5,Closed
43914,2019-10-01,Philadelphia,Homicide,1,4,Closed
43808,2023-11-01,Boston,Drug Violation,4,1,Investigating
15700,2023-10-01,San Jose,Vandalism,4,1,Pending
8480,2019-08-01,Dallas,Vandalism,1,2,Investigating
97736,2023-04-01,Austin,Burglary,9,3,Pending
6348,2018-12-01,San Diego,Sexual Assault,6,4,Closed
79177,2018-04-01,San Jose,Cybercrime,2,2,Closed
12100,2020-10-01,San Jose,Homicide,7,2,Pending
43335,2022-08-01,Austin,Burglary,3,5,Closed
11137,2019-07-01,Los Angeles,Fraud,5,1,Pending
55706,2018-05-01,San Antonio,Vehicle Theft,1,3,Investigating
36082,2022-08-01,Jacksonville,Cybercrime,5,2,Closed
4546,2023-09-01,Houston,Sexual Assault,1,2,Closed
36335,2019-11-01,Philadelphia,Robbery,2,3,Closed
81012,2021-04-01,Washington,Shoplifting,8,3,Closed
25564,2020-02-01,San Jose,Sexual Assault,1,2,Pending
84545,2020-12-01,New York,Homicide,9,5,Pending
38066,2019-12-01,Austin,Homicide,6,1,Closed
33310,2018-05-01,Dallas,Vandalism,3,1,Investigating
13542,2018-12-01,New York,Kidnapping,8,3,Pending
10873,2021-07-01,Houston,Vehicle Theft,9,3,Pending
34563,2022-02-01,San Diego,Sexual Assault,7,1,Closed
87192,2018-05-01,San Francisco,Vandalism,9,1,Pending
78924,2023-10-01,Los Angeles,Assault,5,4,Pending
17957,2019-03-01,Dallas,Burglary,10,3,Investigating
76273,2020-07-01,Boston,Fraud,7,5,Investigating
75952,2023-01-01,Phoenix,Homicide,10,5,Closed
26738,2022-09-01,Dallas,Sexual Assault,1,5,Closed
98590,2020-12-01,Washington,Assault,4,3,Pending
22793,2019-09-01,El Paso,Arson,8,5,Investigating
88956,2018-12-01,San Diego,Cybercrime,10,2,Closed
74783,2020-08-01,San Diego,Shoplifting,10,5,Closed
