dr_no,area_name,crm_cd,crm_cd_desc,vict_age,vict_sex,vict_descent,premis_desc,status_desc
201515169,N Hollywood,624.0,BATTERY - SIMPLE ASSAULT,56.0,F,W,SINGLE FAMILY DWELLING,Adult Other
201711744,Devonshire,320.0,BURGLARY ATTEMPTED,45.0,M,A,PORCH RESIDENTIAL,Invest Cont
211011279,West Valley,624.0,BATTERY - SIMPLE ASSAULT,50.0,M,W,SIDEWALK,Adult Arrest
221405531,Pacific,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,28.0,M,H,TRANSPORTATION FACILITY (AIRPORT),Invest Cont
210713592,Wilshire,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,50.0,F,W,SINGLE FAMILY DWELLING,Adult Other
201008228,West Valley,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,57.0,M,W,SINGLE FAMILY DWELLING,Adult Other
220817818,West LA,330.0,BURGLARY FROM VEHICLE,51.0,M,W,GARAGE/CARPORT,Invest Cont
200505193,Harbor,354.0,THEFT OF IDENTITY,45.0,M,H,SINGLE FAMILY DWELLING,Invest Cont
211210485,77th Street,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,35.0,M,B,STREET,Adult Arrest
200319033,Southwest,330.0,BURGLARY FROM VEHICLE,39.0,M,B,STREET,Invest Cont
211007396,West Valley,956.0,LETTERS LEWD  -  TELEPHONE CALLS LEWD,22.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
201219553,77th Street,624.0,BATTERY - SIMPLE ASSAULT,35.0,M,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
211419665,Pacific,354.0,THEFT OF IDENTITY,69.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
212017017,Olympic,624.0,BATTERY - SIMPLE ASSAULT,19.0,M,H,OTHER/OUTSIDE,Invest Cont
210810478,West LA,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),26.0,M,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
212117517,Topanga,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35.0,M,X,MARKET,Invest Cont
211714909,Devonshire,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,47.0,M,W,PARKING LOT,Invest Cont
201407305,Pacific,320.0,BURGLARY ATTEMPTED,46.0,F,A,SINGLE FAMILY DWELLING,Invest Cont
211412232,Pacific,330.0,BURGLARY FROM VEHICLE,31.0,M,W,GARAGE/CARPORT,Adult Other
220808408,West LA,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),23.0,M,W,ABANDONED BUILDING ABANDONED HOUSE,Invest Cont
200106290,Central,920.0,KIDNAPPING - GRAND ATTEMPT,12.0,M,H,SIDEWALK,Invest Cont
212015570,Olympic,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),47.0,M,W,VEHICLE PASSENGER/TRUCK,Invest Cont
210710753,Wilshire,440.0,THEFT PLAIN - PETTY ($950 & UNDER),33.0,M,O,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
220615996,Hollywood,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,31.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211505734,N Hollywood,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,27.0,M,H,SINGLE FAMILY DWELLING,Adult Arrest
211906260,Mission,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,5.0,F,H,MOTEL,Adult Other
200514198,Harbor,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,30.0,F,H,OTHER STORE,Invest Cont
210318069,Southwest,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),41.0,F,A,VEHICLE PASSENGER/TRUCK,Invest Cont
200510171,Harbor,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),73.0,M,W,SIDEWALK,Invest Cont
211309030,Newton,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,17.0,F,H,STREET,Invest Cont
211914227,Mission,330.0,BURGLARY FROM VEHICLE,40.0,M,H,STREET,Invest Cont
210408146,Hollenbeck,354.0,THEFT OF IDENTITY,41.0,M,H,AUTOMATED TELLER MACHINE (ATM),Invest Cont
210706495,Wilshire,624.0,BATTERY - SIMPLE ASSAULT,58.0,M,W,STREET,Invest Cont
210118270,Central,624.0,BATTERY - SIMPLE ASSAULT,38.0,F,B,SIDEWALK,Invest Cont
221612423,Foothill,440.0,THEFT PLAIN - PETTY ($950 & UNDER),34.0,M,H,OTHER PREMISE,Invest Cont
211904482,Mission,888.0,TRESPASSING,39.0,F,H,YARD (RESIDENTIAL/BUSINESS),Adult Arrest
200416396,Hollenbeck,330.0,BURGLARY FROM VEHICLE,55.0,F,O,STREET,Invest Cont
222105602,Topanga,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,25.0,M,H,PARKING LOT,Invest Cont
220121628,Central,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24.0,M,H,CLOTHING STORE,Invest Cont
